Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"22"	"CSRNP3"	"91.5"	"ARCHS4 Coexpression,124;GTEx Coexpression,59"	"BEX1,TMEM178B,FOXG1,PLPPR4,SLITRK5,JAKMIP2"
"gene_set_query"	"23"	"TET2"	"94.5"	"ARCHS4 Coexpression,46;GTEx Coexpression,143"	"VNN2,CYTIP,EVI2B,PLXDC2,BMPR1B,TLR2"
"gene_set_query"	"24"	"CREB5"	"95.33"	"ARCHS4 Coexpression,97;Enrichr Queries,52;GTEx Coexpression,137"	"CXCL8,TNFAIP6,FOXG1,TNC,TNFAIP3,ICAM1,IFIT2,C3,CXCL10,IL6,VNN2,IL1B,EVI2B,GBP2,TLR2,BIRC3"
"gene_set_query"	"25"	"MKX"	"99.0"	"ARCHS4 Coexpression,69;Enrichr Queries,54;GTEx Coexpression,174"	"PPP1R14A,CPM,VCAM1,ANGPT1,ELN,TNC,PLXDC2,NID2,HAPLN1,IFIT2,RGS4,C3,DPP4,CXCL10,SERTAD4,SVEP1,CRLF1"
"gene_set_query"	"26"	"MEOX1"	"100.3"	"ARCHS4 Coexpression,136;Enrichr Queries,50;GTEx Coexpression,115"	"ANKRD29,VCAM1,TNFAIP6,ANGPT1,TNC,ABCA8,NID2,ICAM1,C3,CXCL10,IL6,SRPX2,OLFML1,SERPING1,SVEP1,APOD,GBP2,FGF10"
"gene_set_query"	"27"	"HEYL"	"103.3"	"ARCHS4 Coexpression,110;Enrichr Queries,162;GTEx Coexpression,38"	"PPP1R14A,NGFR,PARM1,VCAM1,ELN,TNC,MYBPH,PLXDC2,NID2,RGS4,CXCL10,SRPX2,SERPING1,SVEP1,CRLF1"
"gene_set_query"	"28"	"BATF"	"104.6"	"ARCHS4 Coexpression,28;ENCODE ChIP-seq,53;Enrichr Queries,59;ReMap ChIP-seq,20;GTEx Coexpression,363"	"EHF,PARM1,RSAD2,FUCA1,SQOR,TNFAIP3,SOD2,ICAM1,IFIT2,C3,CXCL10,CXCL11,IL6,IL1B,CCL5,CYTIP,EVI2B,GBP2,TLR2,BIRC3"
"gene_set_query"	"29"	"PRRX2"	"106.7"	"ARCHS4 Coexpression,155;Enrichr Queries,89;GTEx Coexpression,76"	"VCAM1,TNFAIP6,ANGPT1,ELN,TNC,NID2,ACAN,CXCL10,SERTAD4,SERPING1,SVEP1,STEAP1,GBP2,CRLF1"
"gene_set_query"	"30"	"ZNF469"	"110.0"	"ARCHS4 Coexpression,152;GTEx Coexpression,68"	"ELN,TNC,STEAP1,NID2,LINC02015"
"gene_set_query"	"31"	"SOX11"	"111.4"	"Literature ChIP-seq,45;ARCHS4 Coexpression,160;Enrichr Queries,244;ReMap ChIP-seq,83;GTEx Coexpression,25"	"PPP1R14A,BEX1,PLPPR4,FOXG1,TNC,MYBPH,TNFAIP3,KCTD4,PLXDC2,CLDN1,HAPLN1,JAKMIP2,DPP4,RGS4,CXCL10,PCDHB2,PSAT1,PIP,DNER,SLITRK5,SVEP1,PTCHD4,CD24"
"gene_set_query"	"32"	"IRF1"	"112.0"	"Literature ChIP-seq,44;ARCHS4 Coexpression,108;ENCODE ChIP-seq,105;Enrichr Queries,9;ReMap ChIP-seq,42;GTEx Coexpression,364"	"EHF,CXCL8,TNC,TNFAIP3,ICAM1,IFIT2,C3,CCL5,GBP2,CYTIP,PPP1R14A,ANKRD29,VCAM1,RSAD2,FUCA1,SOD2,CXCL10,IL6,TMEM158,VNN2,IL1B,SERPING1,STEAP1,EVI2B,SNORD82,BIRC3,TLR2"
"gene_set_query"	"33"	"ZNF883"	"112.0"	"ARCHS4 Coexpression,43;GTEx Coexpression,181"	"BEX1,PCDHB2,PSAT1,PLPPR4,FOXG1,CD24,JAKMIP2"
"gene_set_query"	"34"	"EGR1"	"114.3"	"Literature ChIP-seq,22;ARCHS4 Coexpression,347;ENCODE ChIP-seq,81;Enrichr Queries,55;ReMap ChIP-seq,158;GTEx Coexpression,23"	"CXCL8,PARM1,MAOB,TNFAIP6,TNC,STC1,TNFAIP3,ICAM1,IFIT2,C3,CCL5,OLFML1,GBP2,NGFR,FUCA1,CXCL10,IL6,VNN1,PSAT1,IL1B,SERPING1,SAA2,CRLF1,FGF10,BIRC3"
"gene_set_query"	"35"	"CEBPB"	"114.3"	"Literature ChIP-seq,75;ARCHS4 Coexpression,130;ENCODE ChIP-seq,2;Enrichr Queries,53;ReMap ChIP-seq,22;GTEx Coexpression,404"	"CPM,EHF,CXCL8,TNFAIP6,PLPPR4,TNC,TNFAIP3,ICAM1,IFIT2,C3,SRPX2,CCL5,CYTIP,GBP2,LINC02015,ANKRD29,CCL20,MMP1,FUCA1,SQOR,RAB27B,SOD2,KCTD4,PLXDC2,CXCL10,IL6,VNN1,PSAT1,IL1B,TLR2,BIRC3"
"gene_set_query"	"36"	"ATF3"	"117.5"	"Literature ChIP-seq,74;ARCHS4 Coexpression,8;ENCODE ChIP-seq,98;Enrichr Queries,34;ReMap ChIP-seq,264;GTEx Coexpression,227"	"CXCL8,BEX1,TNC,TNFAIP3,ICAM1,IFIT2,C3,RGS4,SRPX2,CCL5,OLFML1,GBP2,RSAD2,MMP1,FUCA1,SQOR,SOD2,MMP12,CXCL10,IL6,PSAT1,IL1B,SERPING1,EVI2B,BIRC3,TLR2"
"gene_set_query"	"37"	"RFX8"	"118.0"	"ARCHS4 Coexpression,24;GTEx Coexpression,212"	"IL6,CXCL8,SERPINB2,TMEM158,TNFAIP6,IL1B,STEAP1,SOD2,LINC02015"
"gene_set_query"	"38"	"FOXS1"	"118.7"	"ARCHS4 Coexpression,287;Enrichr Queries,62;GTEx Coexpression,7"	"PPP1R14A,VCAM1,TNFAIP6,ELN,TNC,PLXDC2,NID2,RGS4,C3,ACAN,CXCL10,IL6,SRPX2,SERPING1,GBP2,CRLF1"
"gene_set_query"	"39"	"MXD1"	"120.7"	"ARCHS4 Coexpression,179;Enrichr Queries,32;GTEx Coexpression,151"	"CXCL8,SERPINB2,RSAD2,TNFAIP3,SOD2,ICAM1,IFIT2,C3,CXCL10,IL6,VNN2,IL1B,CCL5,CYTIP,EVI2B,GBP2,TLR2,BIRC3"
"gene_set_query"	"40"	"HEY1"	"121.3"	"ARCHS4 Coexpression,40;Enrichr Queries,145;GTEx Coexpression,179"	"VCAM1,SERPINB2,TNFAIP6,TMEM178B,FOXG1,PLPPR4,TNC,STC1,ICAM1,RGS4,C3,CXCL10,IL6,DNER,GBP2"
"gene_set_query"	"41"	"CEBPD"	"122.6"	"Literature ChIP-seq,6;ARCHS4 Coexpression,59;ENCODE ChIP-seq,64;ReMap ChIP-seq,144;GTEx Coexpression,340"	"ANGPT1,CCL20,TNC,PLXDC2,CLDN1,ICAM1,C3,VNN2,SERPING1,PADI2,SLITRK5,BMPR1B,CRLF1,FGF10,TLR2"
"gene_set_query"	"42"	"IKZF1"	"125.2"	"Literature ChIP-seq,77;ARCHS4 Coexpression,158;ENCODE ChIP-seq,46;Enrichr Queries,77;ReMap ChIP-seq,46;GTEx Coexpression,347"	"EHF,CXCL8,VCAM1,PARM1,TNFAIP3,TM6SF1,PLXDC2,CLDN1,ICAM1,C3,CXCL10,IL6,VNN2,IL1B,CCL5,SAA2,CYTIP,EVI2B,GBP2,TLR2,BIRC3"
"gene_set_query"	"43"	"JUNB"	"125.3"	"ARCHS4 Coexpression,171;Enrichr Queries,91;ReMap ChIP-seq,78;GTEx Coexpression,161"	"EHF,CXCL8,TNFAIP3,PLXDC2,SOD2,ICAM1,C3,CXCL10,IL6,IL1B,CCL5,EVI2B,GBP2,CYTIP,BIRC3"
"gene_set_query"	"44"	"RUNX2"	"126.6"	"Literature ChIP-seq,81;ARCHS4 Coexpression,246;Enrichr Queries,243;ReMap ChIP-seq,10;GTEx Coexpression,53"	"CPM,EHF,CSF2,PARM1,ELN,TNC,TNFAIP3,NID2,RXFP1,ICAM1,DPP4,RGS4,DNER,SLITRK5,SVEP1,APOD,NPTX1,GBP2,CYTIP,LINC02015,ANKRD29,PPP1R14A,ANGPT1,ANKRD30B,SQOR,SOD2,CXCL10,IL1B,STEAP1,EVI2B,BIRC3"
"gene_set_query"	"45"	"ELF5"	"129.8"	"Literature ChIP-seq,61;ARCHS4 Coexpression,147;Enrichr Queries,317;ReMap ChIP-seq,103;GTEx Coexpression,21"	"CPM,EHF,MMP7,MRGPRX3,CLDN1,C3,CXCL10,SERTAD4,PCDHB2,PIP,PADI2,SLITRK5,APOD,BMPR1B"
"gene_set_query"	"46"	"NFKB1"	"132.0"	"ARCHS4 Coexpression,3;Enrichr Queries,44;ReMap ChIP-seq,96;GTEx Coexpression,385"	"CSF2,CXCL8,SERPINB2,RSAD2,SQOR,TNC,TNFAIP3,SOD2,ICAM1,IFIT2,C3,CXCL10,IL6,IL1B,CCL5,GBP2,CYTIP,BIRC3,TLR2"
"gene_set_query"	"47"	"HNF1B"	"133.7"	"ARCHS4 Coexpression,100;Enrichr Queries,299;ReMap ChIP-seq,2"	"CXCL6,CPM,EHF,CXCL8,MMP7,VCAM1,MAOB,SQOR,TNFAIP3,KCTD4,SNORD114-3,NID2,CLDN1,HAPLN1,ICAM1,DPP4,C3,CXCL10,SERPING1,BIRC3"
"gene_set_query"	"48"	"HLX"	"134.7"	"ARCHS4 Coexpression,19;Enrichr Queries,68;GTEx Coexpression,317"	"VCAM1,FUCA1,SQOR,TNC,TNFAIP3,SOD2,ICAM1,IFIT2,C3,CXCL10,IL6,VNN2,IL1B,SERPING1,GBP2,EVI2B,TLR2"
"gene_set_query"	"49"	"SP110"	"135.0"	"ARCHS4 Coexpression,81;Enrichr Queries,14;GTEx Coexpression,310"	"RSAD2,SQOR,TNC,TNFAIP3,SOD2,ICAM1,IFIT2,C3,CXCL10,CXCL11,VNN2,IL1B,CCL5,SERPING1,CYTIP,EVI2B,GBP2,TLR2,BIRC3"
"gene_set_query"	"50"	"SPI1"	"135.2"	"Literature ChIP-seq,9;ARCHS4 Coexpression,223;ENCODE ChIP-seq,25;Enrichr Queries,130;ReMap ChIP-seq,129;GTEx Coexpression,295"	"FUCA1,MYBPH,TNFAIP3,ICAM1,C3,CXCL10,LCE3A,VNN2,PSAT1,IL1B,CCL5,PADI2,EVI2B,CYTIP,GBP2,TLR2,BIRC3"
"gene_set_query"	"51"	"REL"	"135.7"	"ARCHS4 Coexpression,89;Enrichr Queries,37;GTEx Coexpression,281"	"CXCL8,RSAD2,TNFAIP3,SOD2,ICAM1,IFIT2,C3,CXCL10,IL6,IL1B,CCL5,CYTIP,GBP2,TLR2,BIRC3"
"gene_set_query"	"52"	"NR4A1"	"136.5"	"ARCHS4 Coexpression,178;Enrichr Queries,156;ReMap ChIP-seq,135;GTEx Coexpression,77"	"CXCL8,VCAM1,TNC,TNFAIP3,ABCA8,PLXDC2,ICAM1,C3,FAM198B-AS1,CXCL10,IL6,IL1B,OLFML1,PADI2,CYTIP,GBP2"
"gene_set_query"	"53"	"JUN"	"139.5"	"Literature ChIP-seq,17;ARCHS4 Coexpression,562;ENCODE ChIP-seq,12;Enrichr Queries,65;ReMap ChIP-seq,95;GTEx Coexpression,86"	"EHF,CXCL8,MAOB,FOXG1,TNC,TNFAIP3,SNORD114-3,CLDN1,ICAM1,JAKMIP2,C3,RANBP3L,SRPX2,SERTAD4,OLFML1,SLITRK5,GBP2,LINC02015,ANKRD29,MMP7,RSAD2,ANKRD30B,RAB27B,SOD2,CXCL10,IL6,PSAT1,IL1B,EVI2B,CRLF1,FGF10,BIRC3"
"gene_set_query"	"54"	"SIM1"	"140.0"	"ARCHS4 Coexpression,118;Enrichr Queries,300;GTEx Coexpression,2"	"CPM,BEX1,PARM1,ANGPT1,TMEM178B,FOXG1,NID2,DPP4,RGS4,CXCL10,DNER,SVEP1,NPTX1,STEAP1,LINC02015"
"gene_set_query"	"55"	"TWIST1"	"140.8"	"ARCHS4 Coexpression,289;Enrichr Queries,116;ReMap ChIP-seq,148;GTEx Coexpression,10"	"CPM,VCAM1,TNFAIP6,ANGPT1,ELN,TNC,NID2,RGS4,C3,CXCL10,IL6,SERTAD4,SVEP1,STEAP1,LINC02015"
"gene_set_query"	"56"	"NFE2L2"	"141.2"	"Literature ChIP-seq,24;ARCHS4 Coexpression,14;Enrichr Queries,318;ReMap ChIP-seq,219;GTEx Coexpression,131"	"EHF,SERPINB2,CXCL8,ANGPT1,FUCA1,SQOR,TNC,TNFAIP3,RAB27B,SOD2,PLXDC2,HAPLN1,ICAM1,C3,RGS4,IL1B,GBP2,BIRC3,TLR2,FGF10"
"gene_set_query"	"57"	"BHLHE41"	"142.0"	"ARCHS4 Coexpression,58;GTEx Coexpression,226"	"C3,DNER,PADI2,TM6SF1,PLXDC2,JAKMIP2,TLR2"
"gene_set_query"	"58"	"BCL6"	"142.8"	"Literature ChIP-seq,124;ARCHS4 Coexpression,122;Enrichr Queries,153;ReMap ChIP-seq,258;GTEx Coexpression,57"	"CSF2,TNFAIP3,SOD2,ICAM1,IFIT2,C3,CXCL10,LCE3A,VNN1,VNN2,IL1B,PADI2,APOD,EVI2B,GBP2,CD24,TLR2,BIRC3,CD177"
"gene_set_query"	"59"	"MTF1"	"143.5"	"ARCHS4 Coexpression,11;GTEx Coexpression,276"	"IL6,CXCL8,SERPINB2,TNFAIP6,RSAD2,IL1B,SQOR,EVI2B,SOD2,TLR2,ICAM1"
"gene_set_query"	"60"	"GLI1"	"147.3"	"Literature ChIP-seq,159;ARCHS4 Coexpression,209;Enrichr Queries,179;GTEx Coexpression,42"	"NGFR,VCAM1,ANKRD30B,TNC,ABCA8,CLDN1,ICAM1,C3,CXCL10,VNN2,WIF1,APOD,EVI2B,CRLF1"
"gene_set_query"	"61"	"MAFF"	"152.4"	"ARCHS4 Coexpression,252;ENCODE ChIP-seq,83;Enrichr Queries,6;ReMap ChIP-seq,216;GTEx Coexpression,205"	"CXCL8,SERPINB2,RSAD2,CCL20,FUCA1,TNC,TNFAIP3,STC1,SOD2,ICAM1,IFIT2,C3,CXCL10,IL6,SRPX2,VNN1,PSAT1,IL1B,CCL5,SERPING1,SLITRK5,GBP2,BMPR1B,BIRC3"
"gene_set_query"	"62"	"NR4A2"	"154.8"	"Literature ChIP-seq,154;ARCHS4 Coexpression,218;Enrichr Queries,3;GTEx Coexpression,244"	"CXCL8,VCAM1,TNFAIP6,RSAD2,FOXG1,TNC,TNFAIP3,STC1,SOD2,PLXDC2,JAKMIP2,ICAM1,IFIT2,C3,CXCL10,IL6,PSAT1,IL1B,CCL5,GBP2,CD24,CYTIP,BIRC3"
"gene_set_query"	"63"	"STAT5A"	"155.2"	"Literature ChIP-seq,79;ARCHS4 Coexpression,228;ENCODE ChIP-seq,87;Enrichr Queries,58;ReMap ChIP-seq,93;GTEx Coexpression,386"	"CPM,CXCL8,SQOR,TNC,TNFAIP3,STC1,SOD2,ICAM1,IFIT2,C3,CXCL10,IL6,SRPX2,SERTAD4,IL1B,CCL5,GBP2,CYTIP,BIRC3"
"gene_set_query"	"64"	"NKX31"	"156.5"	"ARCHS4 Coexpression,103;GTEx Coexpression,210"	"DPP4,EHF,SLITRK5,BMPR1B,STEAP1"
"gene_set_query"	"65"	"HDX"	"157.3"	"ARCHS4 Coexpression,143;Enrichr Queries,127;GTEx Coexpression,202"	"PPP1R14A,BEX1,ANGPT1,RSAD2,TNC,TNFAIP3,ICAM1,IFIT2,JAKMIP2,CXCL10,IL6,PCDHB2,SERPING1,GBP2,BIRC3"
"gene_set_query"	"66"	"FOSL1"	"161.2"	"ARCHS4 Coexpression,603;ENCODE ChIP-seq,7;Enrichr Queries,27;ReMap ChIP-seq,58;GTEx Coexpression,111"	"EHF,SERPINB2,CXCL8,CSF2,TNFAIP6,ANGPT1,MMP1,CCL20,TNC,TNFAIP3,STC1,ICAM1,CXCL10,IL6,TMEM158,SERTAD4,PSAT1,IL1B,STEAP1,EVI2B,LINC02015,BIRC3"
"gene_set_query"	"67"	"NFE4"	"162.0"	"GTEx Coexpression,162"	"VNN2,EVI2B,TLR2"
"gene_set_query"	"68"	"HIF1A"	"162.6"	"Literature ChIP-seq,149;ARCHS4 Coexpression,323;Enrichr Queries,204;ReMap ChIP-seq,43;GTEx Coexpression,94"	"CPM,CXCL8,ANGPT1,TNC,TNFAIP3,SOD2,NID2,CLDN1,ICAM1,CXCL10,IL6,IL1B,APOD,STEAP1,LINC02015,BIRC3"
"gene_set_query"	"69"	"SP9"	"166.5"	"ARCHS4 Coexpression,232;GTEx Coexpression,101"	"TMEM158,PCDHB2,FOXG1,PLPPR4,JAKMIP2"
"gene_set_query"	"70"	"LHX8"	"167.0"	"ARCHS4 Coexpression,161;Enrichr Queries,305;GTEx Coexpression,35"	"RGS4,CXCL10,TMEM158,VCAM1,PCDHB2,FOXG1,PLPPR4,PIP,TNC,NPTX1,CD24"
"gene_set_query"	"71"	"GRHL1"	"169.3"	"ARCHS4 Coexpression,286;Enrichr Queries,90;GTEx Coexpression,132"	"CPM,EHF,SERPINB2,PARM1,TNC,TNFAIP3,RAB27B,CLDN1,DPP4,CXCL10,PSAT1,CD24"
"gene_set_query"	"72"	"CXXC4"	"171.7"	"ARCHS4 Coexpression,240;ReMap ChIP-seq,161;GTEx Coexpression,114"	"BEX1,TMEM178B,DNER,NPTX1,JAKMIP2,ICAM1"
"gene_set_query"	"73"	"ZNF438"	"172.3"	"ARCHS4 Coexpression,260;Enrichr Queries,117;GTEx Coexpression,140"	"SQOR,TNFAIP3,RAB27B,PLXDC2,TM6SF1,ICAM1,IFIT2,CXCL10,VNN2,IL1B,EVI2B,GBP2,TLR2,BIRC3"
"gene_set_query"	"74"	"FOXD1"	"172.5"	"ARCHS4 Coexpression,308;GTEx Coexpression,37"	"TMEM158,PTCHD4,STEAP1,NID2,LINC02015"
"gene_set_query"	"75"	"SOX9"	"174.0"	"Literature ChIP-seq,15;ARCHS4 Coexpression,365;Enrichr Queries,154;ReMap ChIP-seq,244;GTEx Coexpression,92"	"EHF,VCAM1,KCND2,RSAD2,MAOB,FOXG1,TNC,MYBPH,TNFAIP3,STC1,RAB27B,CLDN1,ICAM1,C3,CXCL10,ACAN,RANBP3L,PSAT1,WIF1,SERPING1,SVEP1,CD24,TLR2,BIRC3"
"gene_set_query"	"76"	"FOXC2"	"174.7"	"ARCHS4 Coexpression,263;Enrichr Queries,190;GTEx Coexpression,71"	"RGS4,ACAN,PPP1R14A,CXCL10,IL6,SRPX2,TNC,SVEP1,NID2,CRLF1,ICAM1"
"gene_set_query"	"77"	"ELF3"	"178.5"	"ARCHS4 Coexpression,437;Enrichr Queries,122;ReMap ChIP-seq,9;GTEx Coexpression,146"	"CXCL6,EHF,CXCL8,CSF2,MMP7,CCL20,SQOR,TNC,TNFAIP3,RAB27B,CLDN1,IFIT2,ICAM1,C3,CXCL10,SRPX2,BMPR1B,GBP2,CD24,BIRC3"
"gene_set_query"	"78"	"DBX2"	"181.7"	"ARCHS4 Coexpression,138;Enrichr Queries,201;GTEx Coexpression,206"	"CXCL10,RANBP3L,VCAM1,WIF1,FOXG1,PLPPR4,DNER,TNC,PADI2,NPTX1,BMPR1B"
"gene_set_query"	"79"	"OSR2"	"181.7"	"ARCHS4 Coexpression,51;Enrichr Queries,49;GTEx Coexpression,445"	"VCAM1,TNFAIP6,ELN,TNC,STC1,NID2,C3,DPP4,CXCL10,OLFML1,SERPING1,SVEP1,APOD,NPTX1,GBP2"
"gene_set_query"	"80"	"STAT1"	"181.8"	"Literature ChIP-seq,40;ARCHS4 Coexpression,20;ENCODE ChIP-seq,16;Enrichr Queries,5;ReMap ChIP-seq,13;GTEx Coexpression,997"	"EHF,CXCL8,VCAM1,RSAD2,SQOR,TNC,TNFAIP3,SOD2,ICAM1,IFIT2,C3,CXCL10,CXCL11,IL6,LCE3A,IL1B,CCL5,DNER,SERPING1,APOD,GBP2,CYTIP,TLR2,BIRC3"
"gene_set_query"	"81"	"EBF3"	"183.0"	"ARCHS4 Coexpression,210;Enrichr Queries,324;GTEx Coexpression,15"	"ANGPT1,TMEM178B,TNC,ABCA8,PLXDC2,RGS4,CXCL10,SRPX2,SERTAD4,OLFML1,DNER,SVEP1,FGF10"
"gene_set_query"	"82"	"ZFHX4"	"184.0"	"ARCHS4 Coexpression,55;Enrichr Queries,425;GTEx Coexpression,72"	"CXCL10,BEX1,ANGPT1,PCDHB2,FOXG1,DNER,TNC,SVEP1,PLXDC2,NID2,JAKMIP2"
